"MODZCTA","DATE","NEIGHBORHOOD_NAME","BOROUGH","Label","AGE_GROUP","POP_DENOMINATOR.x","COUNT_PARTIALLY_CUMULATIVE","COUNT_FULLY_CUMULATIVE","COUNT_1PLUS_CUMULATIVE","COUNT_ADDITIONAL_CUMULATIVE","COUNT_BIVALENT_ADDITIONAL_CUMULATIVE","PERC_PARTIALLY","PERC_FULLY","PERC_1PLUS","PERC_ADDITIONAL","PERC_BIVALENT_ADDITIONAL","COVID_CONFIRMED_CASE_COUNT","COVID_PROBABLE_CASE_COUNT","COVID_CASE_COUNT","COVID_CONFIRMED_CASE_RATE","COVID_CASE_RATE","POP_DENOMINATOR.y","COVID_DEATH_COUNT","COVID_DEATH_RATE"
10001,"2023-09-12","Chelsea/NoMad/West Chelsea","Manhattan","10001, 10118","18+",25536.66,10241,31539,41780,15066,9035,40.1,123.5,163.61,59,35.38,9589,2479,12068,34726.29,43703.91,27613.09,70,253.5
10002,"2023-09-12","Chinatown/Lower East Side","Manhattan","10002","18+",63973.22,7732,62960,70692,40231,17558,12.09,98.42,110.5,62.89,27.45,25153,5421,30574,33393.65,40590.68,75322.71,486,645.22
10003,"2023-09-12","East Village/Gramercy/Greenwich Village","Manhattan","10003","18+",50398.54,7508,39932,47440,26606,17213,14.9,79.23,94.13,52.79,34.15,17296,3673,20969,32042.8,38847.44,53977.81,111,205.64
10004,"2023-09-12","Financial District","Manhattan","10004","18+",2684.95,869,3879,4748,2236,1298,32.37,144.47,176.84,83.28,48.34,1108,333,1441,37279.84,48483.98,2972.12,3,100.94
10005,"2023-09-12","Financial District","Manhattan","10005","18+",8169.56,1857,8344,10201,4918,2837,22.73,102.14,124.87,60.2,34.73,2495,1056,3551,28490.76,40549.37,8757.23,1,11.42
10006,"2023-09-12","Financial District","Manhattan","10006","18+",3155.66,1197,4285,5482,2111,1229,37.93,135.79,173.72,66.9,38.95,1190,432,1622,35188.37,47962.63,3381.8,2,59.14
10007,"2023-09-12","TriBeCa","Manhattan","10007","18+",5573.4,1275,6358,7633,4057,2410,22.88,114.08,136.95,72.79,43.24,2076,708,2784,29693.41,39820.07,6991.45,8,114.43
10009,"2023-09-12","Alphabet City/East Village/Stuyvesant Town-Cooper Village","Manhattan","10009","18+",50563.97,5812,44454,50266,28261,15182,11.49,87.92,99.41,55.89,30.03,19570,4632,24202,34242.55,42347.38,57151.12,213,372.7
10010,"2023-09-12","Flatiron/Gramercy/Kips Bay","Manhattan","10010","18+",30671.32,3920,25576,29496,17724,10640,12.78,83.39,96.17,57.79,34.69,10232,3584,13816,30677.9,41423.56,33353,76,227.87
10011,"2023-09-12","Chelsea","Manhattan","10011","18+",45084.43,5935,40065,46000,27846,17598,13.16,88.87,102.03,61.76,39.03,16510,3577,20087,33188.61,40379.14,49745.99,123,247.26
10012,"2023-09-12","Greenwich Village/SoHo","Manhattan","10012","18+",20884.75,3038,17239,20277,11353,6925,14.55,82.54,97.09,54.36,33.16,6477,1956,8433,27975.9,36424.39,23152.07,38,164.13
10013,"2023-09-12","Hudson Square/Little Italy/SoHo/TriBeCa","Manhattan","10013","18+",24655.72,4101,23344,27445,15469,8363,16.63,94.68,111.31,62.74,33.92,9492,2001,11493,32936.76,39880.13,28818.86,78,270.66
10014,"2023-09-12","Hudson Square/Meatpacking District/West Village","Manhattan","10014","18+",27625.86,3575,24283,27858,16790,10149,12.94,87.9,100.84,60.78,36.74,8075,2424,10499,26618.49,34608.98,30336.05,55,181.3
